"","X","trigram","trigram_d_freq","trigram_r_freq","trigram_total","chisq()"
"95477",95477,"room sd628 dirksen",63,3,66,2.22190669861921e-05
"96599",96599,"sd628 dirksen senat",63,3,66,2.22190669861921e-05
"100130",100130,"speaker great respect",63,3,66,2.22190669861921e-05
"102890",102890,"take care law",3,63,66,2.22190669861921e-05
"58322",58322,"debat equal divid",115,27,142,2.22128308929916e-05
"46641",46641,"committe bank hous",91,15,106,2.21956230086147e-05
"68866",68866,"hard play rule",73,7,80,2.21798040915675e-05
"98051",98051,"send clotur motion",73,7,80,2.21798040915675e-05
"108514",108514,"use yield back",93,16,109,2.21564093512904e-05
"47882",47882,"commun busi leader",5,68,73,2.21473503681493e-05
"106588",106588,"unanim consent bill",95,17,112,2.2126566035292e-05
"82024",82024,"mr presid would",273,126,399,2.20522161553852e-05
"46991",46991,"committe intellig author",84,12,96,2.19960697663499e-05
"72790",72790,"intellig author meet",84,12,96,2.19960697663499e-05
"100097",100097,"speaker continu reserv",30,120,150,2.19946179929478e-05
"42715",42715,"close tax loophol",70,6,76,2.19537290884806e-05
"102105",102105,"suggest absenc quorum",881,599,1480,2.18500628745903e-05
"81060",81060,"minut debat equal",79,10,89,2.17903004892147e-05
"4287",4287,"ad end follow",18,96,114,2.17383275256039e-05
"60817",60817,"due second read",74,8,82,2.16387803643761e-05
"52111",52111,"consider clerk read",1,56,57,2.16183504889158e-05
"81451",81451,"motion tabl motion",117,29,146,2.16041545550446e-05
"75414",75414,"lay tabl agre",115,28,143,2.15590116564619e-05
"81423",81423,"motion lay tabl",115,28,143,2.15590116564619e-05
"80996",80996,"minimum wage hour",76,9,85,2.15123496148369e-05
"36471",36471,"care law faith",3,61,64,2.14113636606472e-05
"51718",51718,"consent select committe",80,11,91,2.13113406904412e-05
"61513",61513,"employ nondiscrimin act",80,11,91,2.13113406904412e-05
"106662",106662,"unanim consent select",80,11,91,2.13113406904412e-05
"63422",63422,"famili medic leav",63,4,67,2.11639117938348e-05
"113258",113258,"would vote ye",243,108,351,2.11434753431748e-05
"74525",74525,"labor pension meet",60,3,63,2.10076758380423e-05
"82154",82154,"mr speaker direct",11,79,90,2.09281013363359e-05
"21928",21928,"back time senat",81,12,93,2.0852981313148e-05
"97761",97761,"senat recess pm",81,12,93,2.0852981313148e-05
"100454",100454,"speaker yield gentleman",131,38,169,2.08445138150762e-05
"78503",78503,"make point order",14,85,99,2.0741073907996e-05
"107034",107034,"unit state code",69,182,251,2.07182090546886e-05
"87946",87946,"pay fair share",89,16,105,2.06729746667115e-05
"102020",102020,"submit earlier today",101,22,123,2.06674105896229e-05
"74589",74589,"land water conserv",91,17,108,2.06530712248855e-05
"94694",94694,"resourc unit state",59,3,62,2.06041043533455e-05
"100618",100618,"spend money nt",3,59,62,2.06041043533455e-05
"90567",90567,"presid took offic",5,64,69,2.05504148405979e-05
"80709",80709,"million american famili",78,11,89,2.05454019945568e-05
"70288",70288,"homeland secur bill",110,27,137,2.04816614020584e-05
