"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"172185",172185,"extend unemploy",323,69,392,1.40323823712142e-05
"24560",24560,"america effort",5,179,184,1.402987581911e-05
"125866",125866,"debt today",17,210,227,1.39912699802611e-05
"6985",6985,"activ part",12,197,209,1.39626401911006e-05
"264225",264225,"leadership take",10,191,201,1.38973615798581e-05
"314311",314311,"previou question",455,143,598,1.38782644952763e-05
"350296",350296,"speaker januari",14,201,215,1.38680201022471e-05
"55880",55880,"black caucu",193,11,204,1.38446996979878e-05
"292506",292506,"new mexico",402,113,515,1.38269004021906e-05
"120416",120416,"cut snap",168,2,170,1.38210794522268e-05
"360163",360163,"take activ",12,195,207,1.37943878340226e-05
"157279",157279,"energi natur",302,60,362,1.3793533650165e-05
"60690",60690,"broken immigr",336,78,414,1.37083969171137e-05
"315682",315682,"proceed period",199,14,213,1.37004169663097e-05
"101782",101782,"consent adjourn",172,4,176,1.36735076488135e-05
"230156",230156,"hous resolut",51,280,331,1.35082718593487e-05
"328519",328519,"reopen govern",323,73,396,1.34565717425348e-05
"246190",246190,"institut health",366,96,462,1.3453268797071e-05
"145714",145714,"drone strike",11,188,199,1.34234745356424e-05
"25586",25586,"american citizen",221,573,794,1.3303631376434e-05
"338705",338705,"school receiv",223,26,249,1.32892061080873e-05
"309923",309923,"pm senat",204,18,222,1.32874561902722e-05
"260193",260193,"koch brother",181,9,190,1.32762609404751e-05
"331487",331487,"respect famili",11,186,197,1.32550564119502e-05
"332607",332607,"resum legisl",167,4,171,1.32481030069545e-05
"335436",335436,"rule xxii",201,17,218,1.32418458673275e-05
"320636",320636,"purpos debat",3,164,167,1.32345848632923e-05
"386783",386783,"work persever",198,16,214,1.31977173516492e-05
"315643",315643,"proceed calendar",160,2,162,1.31393764942313e-05
"3969",3969,"achiev highest",12,187,199,1.31218330509767e-05
"222776",222776,"heritag month",168,5,173,1.30949390469359e-05
"361521",361521,"tax credit",834,399,1233,1.30819364315465e-05
"6942",6942,"activ mani",14,191,205,1.30305723533108e-05
"317042",317042,"program help",413,126,539,1.30289296699515e-05
"226683",226683,"homeland secur",1952,1253,3205,1.29886416895891e-05
"309758",309758,"pleas contact",172,7,179,1.29684647655437e-05
"328123",328123,"remark senat",329,80,409,1.29247913709638e-05
"361523",361523,"tax cut",274,52,326,1.28897865555485e-05
"294016",294016,"notifi senat",168,6,174,1.28604168350335e-05
"325455",325455,"reconsid laid",231,32,263,1.2838514644336e-05
"314710",314710,"prior vote",196,17,213,1.28261522284157e-05
"101093",101093,"congression black",178,10,188,1.28006912690668e-05
"147421",147421,"earn numer",10,178,188,1.28006912690668e-05
"125905",125905,"debt year",12,183,195,1.27858481065007e-05
"313989",313989,"prestigi award",46,260,306,1.27604420419142e-05
"89967",89967,"come togeth",995,519,1514,1.27559674057103e-05
"295643",295643,"obama took",36,238,274,1.26974154739337e-05
"21986",21986,"also respect",17,194,211,1.26600153187961e-05
"289779",289779,"nation institut",419,133,552,1.2633545697733e-05
"15881",15881,"agre preambl",228,32,260,1.25980551302866e-05
"329904",329904,"republican shutdown",162,5,167,1.25851349213106e-05
"313539",313539,"presid move",282,58,340,1.25826738963149e-05
"122010",122010,"date time",221,30,251,1.23924941544669e-05
"249896",249896,"invest infrastructur",188,16,204,1.23651007084069e-05
"324987",324987,"recogn applaud",285,61,346,1.23644582602478e-05
"332606",332606,"resum consider",211,26,237,1.23129573719063e-05
"111892",111892,"counti receiv",152,3,155,1.22128553700592e-05
"341752",341752,"senat juli",149,2,151,1.22020989358103e-05
"335294",335294,"rule pass",109,370,479,1.21251153590722e-05
"391652",391652,"york citi",394,123,517,1.21111168562434e-05
"262701",262701,"law school",436,148,584,1.21087925823544e-05
"309922",309922,"pm room",172,11,183,1.20774132555644e-05
"367637",367637,"today honor",1202,685,1887,1.2072385740517e-05
"330961",330961,"resolut agre",271,56,327,1.2052757899185e-05
"165640",165640,"everi day",1439,868,2307,1.20437535433195e-05
"145462",145462,"drink water",288,65,353,1.20112829541313e-05
"229410",229410,"hous adjourn",44,246,290,1.19968193082473e-05
"101961",101961,"consent resolut",216,30,246,1.19910453794723e-05
"25776",25776,"american energi",52,261,313,1.18989066129176e-05
"285427",285427,"minut gentlewoman",340,94,434,1.18884671589322e-05
"312580",312580,"preambl agre",219,32,251,1.18788719631467e-05
"234580",234580,"immedi notifi",164,9,173,1.18410896383995e-05
"315638",315638,"proceed approv",207,27,234,1.18058361434092e-05
"330840",330840,"reserv use",209,28,237,1.17862614013447e-05
"344944",344944,"sexual orient",197,23,220,1.17339698936179e-05
"256465",256465,"journal proceed",206,27,233,1.17251349650081e-05
"312568",312568,"prayer pledg",208,28,236,1.17057806954104e-05
"389676",389676,"xxii waiv",143,2,145,1.16908936395599e-05
"25725",25725,"american disabl",172,13,185,1.16518681770709e-05
"138867",138867,"disabl act",156,7,163,1.16134276582387e-05
"283071",283071,"member legisl",14,174,188,1.16106043256842e-05
"36148",36148,"ask join",51,255,306,1.1595741025773e-05
"276206",276206,"make america",369,113,482,1.15923887568228e-05
"263707",263707,"leader reserv",204,27,231,1.15638509310259e-05
"107343",107343,"control two",147,4,151,1.15470739570727e-05
"293704",293704,"northern virginia",173,14,187,1.15272433683344e-05
"380513",380513,"war terror",46,244,290,1.15264019253144e-05
"240373",240373,"increas minimum",225,37,262,1.15021464998672e-05
"284061",284061,"middl east",347,727,1074,1.14613870103276e-05
"190638",190638,"foreign relat",384,123,507,1.14554016823932e-05
"313706",313706,"presid said",185,485,670,1.14521456519321e-05
"45132",45132,"baptist church",448,162,610,1.14321536814541e-05
"78611",78611,"child care",306,79,385,1.14114756201162e-05
"341441",341441,"senat complet",213,32,245,1.14013805525021e-05
"125171",125171,"debat motion",156,8,164,1.13881966587028e-05
"32388",32388,"approv date",204,28,232,1.13842695816383e-05
"207201",207201,"goe say",45,240,285,1.13759138623841e-05
"110132",110132,"could avoid",29,206,235,1.13670077941662e-05
"329877",329877,"republican refus",142,3,145,1.13615892565734e-05
"234899",234899,"immigr law",136,404,540,1.13399053223015e-05
"304859",304859,"pay equal",150,6,156,1.13338288487288e-05
"12114",12114,"affair author",201,27,228,1.13222284801083e-05
"154228",154228,"emerg unemploy",218,35,253,1.12861845052349e-05
"295702",295702,"obamacar exchang",2,138,140,1.12649125058784e-05
"132275",132275,"depart homeland",1003,550,1553,1.12627899542732e-05
"366419",366419,"time equal",172,15,187,1.12390736832433e-05
"286850",286850,"month recogn",143,4,147,1.12070040770455e-05
"189066",189066,"follow prayer",208,31,239,1.11767535489194e-05
"211991",211991,"great lake",324,91,415,1.11535016038255e-05
"161547",161547,"equal work",153,8,161,1.11348875938708e-05
"376055",376055,"use later",205,30,235,1.11115775701854e-05
"254508",254508,"jefferson counti",163,12,175,1.11093845293931e-05
"313711",313711,"presid say",58,262,320,1.10883876423089e-05
"284766",284766,"million children",246,50,296,1.10657573242526e-05
"122762",122762,"day follow",213,34,247,1.10605128032081e-05
"297637",297637,"oil compani",193,25,218,1.10390435302296e-05
"95970",95970,"complet busi",204,30,234,1.10318979962301e-05
"353008",353008,"state congress",147,417,564,1.10199432526039e-05
"341321",341321,"senat april",135,2,137,1.10093350757432e-05
"341276",341276,"senat action",181,20,201,1.09958032267483e-05
"390683",390683,"year old",703,337,1040,1.09801146544448e-05
"209672",209672,"govern open",393,133,526,1.09571121713922e-05
"337094",337094,"sandi hook",194,26,220,1.09386829923858e-05
"93750",93750,"commun health",187,23,210,1.09204030154149e-05
"36832",36832,"assault weapon",153,9,162,1.09140406579226e-05
"320962",320962,"put food",242,49,291,1.09139734925138e-05
